transaction_id,order_date,customer_id,product_id,product_name,category,subcategory,brand,original_price_inr,discount_percent,discounted_price_inr,quantity,subtotal_inr,delivery_charges,final_amount_inr,customer_city,customer_state,customer_tier,customer_spending_tier,customer_age_group,payment_method,delivery_days,delivery_type,is_prime_member,is_festival_sale,customer_rating,return_status,order_month,order_year,order_quarter,product_weight_kg,is_prime_eligible,product_rating,year
TXN_2015_00000001,2015-01-25,CUST_2015_00003884,PROD_000021,Samsung Galaxy S6 16GB Black,electronics,Smartphones,Samsung,123614.29,27.91,89112.17,1,89112.17,0.0,89112.17,bombay,Maharashtra,Metro,Premium,46-55,Cash on Delivery,6.0,Standard,False,True,5.0,Delivered,1,2015,1,0.19,True,4.7,2015
TXN_2015_00000002,2015-01-05,CUST_2015_00011709,PROD_000055,OnePlus OnePlus 2 16GB White,electronics,Smartphones,OnePlus,54731.86,0.0,54731.86,1,54731.86,0.0,54731.86,allahabad,Uttar Pradesh,Rural,Standard,26-35,Cash on Delivery,4.0,Standard,False,False,4.5,Delivered,1,2015,1,0.2,True,4.1,2015
TXN_2015_00000003,2015-01-24,CUST_2015_00004782,PROD_000039,Samsung Galaxy Note 5 64GB Black,electronics,Smartphones,Samsung,97644.25,46.93,51818.26,2,103636.52,0.0,103636.52,bombay,Maharashtra,Metro,Premium,26-35,Cash on Delivery,4.0,Standard,False,True,4.5,Delivered,1,2015,1,0.17,True,3.3,2015
TXN_2015_00000004,2015-01-28,CUST_2015_00008105,PROD_000085,Motorola Moto G (3rd Gen) 16GB Black,electronics,Smartphones,Motorola,21947.26,0.0,21947.26,1,21947.26,0.0,21947.26,kolkata,West Bengal,Metro,Budget,36-45,Cash on Delivery,4.0,Standard,False,False,3.0,Delivered,1,2015,1,0.22,True,3.5,2015
TXN_2015_00000005,2015-01-31,CUST_2015_00002955,PROD_000055,OnePlus OnePlus 2 16GB White,electronics,Smartphones,OnePlus,54731.86,0.0,54731.86,2,109463.72,0.0,109463.72,ludhiana,Punjab,Tier2,Standard,18-25,Cash on Delivery,3.0,Standard,False,False,4.0,Delivered,1,2015,1,0.2,True,4.1,2015
TXN_2015_00000006,2015-01-04,CUST_2015_00006757,PROD_001665,Alienware MacBook 4GB RAM Black,electronics,Laptops,Alienware,131194.65,0.0,131194.65,1,131194.65,0.0,131194.65,new delhi,Delhi,Metro,Standard,18-25,debit card,3.0,Standard,False,False,4.5,Delivered,1,2015,1,1.39,False,3.6,2015
TXN_2015_00000007,2015-01-27,CUST_2015_00008012,PROD_000031,Samsung Galaxy S6 Edge 64GB Black,electronics,Smartphones,Samsung,86987.64,0.0,86987.64,1,86987.64,0.0,86987.64,lucknow,Uttar Pradesh,Tier1,Premium,46-55,Credit Card,4.0,Standard,False,False,3.5,Delivered,1,2015,1,0.16,False,3.7,2015
TXN_2015_00000008,2015-01-08,CUST_2015_00011809,PROD_000048,Samsung Galaxy J7 16GB White,electronics,Smartphones,Samsung,32169.01,0.0,32169.01,1,32169.01,0.0,32169.01,jaipur,Rajasthan,Tier1,Standard,26-35,Cash on Delivery,3.0,Standard,False,False,4.0,Returned,1,2015,1,0.19,False,4.6,2015
TXN_2015_00000009,2015-01-18,CUST_2015_00006429,PROD_000082,Xiaomi Redmi Note 4G 32GB White,electronics,Smartphones,Xiaomi,40264.16,0.0,40264.16,2,80528.32,0.0,80528.32,new delhi,Delhi,Metro,Standard,36-45,Cash on Delivery,3.0,Standard,False,False,5.0,Delivered,1,2015,1,0.22,True,3.4,2015
TXN_2015_00000010,2015-01-03,CUST_2015_00001829,PROD_000055,OnePlus OnePlus 2 16GB White,electronics,Smartphones,OnePlus,54731.86,0.0,54731.86,1,54731.86,0.0,54731.86,bhubaneswar,Odisha,Tier2,Budget,,Cash on Delivery,5.0,Standard,False,False,4.5,Returned,1,2015,1,0.2,True,4.1,2015
TXN_2015_00000011,2015-01-25,CUST_2015_00005519,PROD_000037,Samsung Galaxy Note 5 16GB Black,electronics,Smartphones,Samsung,88664.85,57.92,37309.89,1,37309.89,0.0,37309.89,ahmedabad,Gujarat,Tier1,Standard,,Cash on Delivery,4.0,Standard,False,True,5.0,Delivered,1,2015,1,0.22,True,3.8,2015
TXN_2015_00000012,2015-01-15,CUST_2015_00005472,PROD_001693,Samsung Galaxy Tab 8GB RAM Black,electronics,Tablets,Samsung,73967.02,12.13,64994.39,1,64994.39,0.0,64994.39,bengaluru,Karnataka,Metro,Standard,18-25,Cash on Delivery,3.0,Standard,False,False,4.5,Delivered,1,2015,1,0.45,True,3.7,2015
TXN_2015_00000013,2015-01-26,CUST_2015_00010786,PROD_000052,OnePlus OnePlus 2 16GB Black,electronics,Smartphones,OnePlus,72564.1,51.52,35177.55,1,35177.55,0.0,35177.55,new delhi,Delhi,Metro,Standard,26-35,Cash on Delivery,4.0,Standard,False,True,4.5,Delivered,1,2015,1,0.21,True,3.6,2015
TXN_2015_00000015,2015-01-08,CUST_2015_00008208,PROD_001935,Garmin Watch Deluxe,electronics,Smart Watch,Garmin,45363.47,27.84,32734.52,1,32734.52,0.0,32734.52,bengaluru,Karnataka,Metro,Standard,26-35,Cash on Delivery,4.0,Standard,False,False,4.5,Delivered,1,2015,1,0.08,False,4.8,2015
TXN_2015_00000016,2015-01-07,CUST_2015_00010560,PROD_001849,Audio-Technica Bluetooth Speaker Deluxe,electronics,Audio,Audio-Technica,23075.71,0.0,23075.71,1,23075.71,0.0,23075.71,pune,Maharashtra,Tier1,Budget,36-45,Credit Card,4.0,Standard,False,False,4.5,Cancelled,1,2015,1,0.78,True,3.0,2015
TXN_2015_00000017,2015-01-25,CUST_2015_00007705,PROD_001849,Audio-Technica Bluetooth Speaker Deluxe,electronics,Audio,Audio-Technica,23075.71,50.99,11310.37,1,11310.37,0.0,11310.37,kochi,Kerala,Tier2,Standard,36-45,Cash on Delivery,5.0,Standard,False,True,5.0,Delivered,1,2015,1,0.78,True,3.0,2015
TXN_2015_00000018,2015-01-08,CUST_2015_00004883,PROD_000009,Apple iPhone 6 Plus 16GB Black,electronics,Smartphones,Apple,114096.63,16.22,95590.03,3,286770.09,0.0,286770.09,chennai,Tamil Nadu,Metro,Premium,36-45,Cash on Delivery,7.0,Standard,False,False,4.5,Delivered,1,2015,1,0.17,True,3.6,2015
TXN_2015_00000019,2015-01-06,CUST_2015_00011225,PROD_001640,MSI Aspire 4GB RAM Black,electronics,Laptops,MSI,69584.33,0.0,69584.33,3,208752.99,0.0,208752.99,chennai,Tamil Nadu,Metro,Standard,,Cash on Delivery,3.0,Standard,False,False,4.5,Cancelled,1,2015,1,2.66,True,3.2,2015
TXN_2015_00000020,2015-01-11,CUST_2015_00008851,PROD_001983,Samsung OLED TV,electronics,TV & Entertainment,Samsung,38884.19,7.56,35943.02,2,71886.04,0.0,71886.04,bombay,Maharashtra,Metro,Budget,18-25,Cash on Delivery,5.0,Standard,False,False,4.5,Delivered,1,2015,1,25.87,False,3.9,2015
TXN_2015_00000021,2015-01-06,CUST_2015_00004809,PROD_001733,OnePlus Galaxy Tab 4GB RAM Silver,electronics,Tablets,OnePlus,46234.09,0.0,46234.09,1,46234.09,0.0,46234.09,nagpur,Maharashtra,Tier1,Budget,26-35,Cash on Delivery,5.0,Standard,False,False,4.5,Delivered,1,2015,1,0.53,False,4.3,2015
TXN_2015_00000022,2015-01-04,CUST_2015_00002956,PROD_001736,OnePlus Mi Pad 4GB RAM Silver,electronics,Tablets,OnePlus,15065.01,21.45,11833.24,1,11833.24,0.0,11833.24,visakhapatnam,Andhra Pradesh,Tier2,Budget,18-25,Credit Card,5.0,Standard,False,False,4.5,Delivered,1,2015,1,0.65,True,3.5,2015
TXN_2015_00000023,2015-01-13,CUST_2015_00007041,PROD_000055,OnePlus OnePlus 2 16GB White,electronics,Smartphones,OnePlus,54731.86,0.0,54731.86,2,109463.72,0.0,109463.72,jaipur,Rajasthan,Tier1,Standard,26-35,Cash on Delivery,5.0,Standard,False,False,4.5,Delivered,1,2015,1,0.2,True,4.1,2015
TXN_2015_00000024,2015-01-10,CUST_2015_00010162,PROD_000042,Samsung Galaxy Note 5 16GB Blue,electronics,Smartphones,Samsung,164166.84,7.08,152549.75,1,152549.75,0.0,152549.75,new delhi,Delhi,Metro,Premium,,net banking,4.0,Standard,False,False,4.5,Delivered,1,2015,1,0.16,True,3.7,2015
TXN_2015_00000025,2015-01-03,CUST_2015_00010119,PROD_001639,MSI Aspire 4GB RAM Silver,electronics,Laptops,MSI,64917.57,0.0,64917.57,2,129835.14,0.0,129835.14,ludhiana,Punjab,Tier2,Standard,26-35,Cash on Delivery,3.0,Standard,False,False,4.5,Delivered,1,2015,1,2.68,True,4.1,2015
TXN_2015_00000026,2015-01-14,CUST_2015_00000024,PROD_000070,Xiaomi Redmi 2 16GB Black,electronics,Smartphones,Xiaomi,29534.7,27.72,21348.94,1,21348.94,0.0,21348.94,bengaluru,Karnataka,Metro,Standard,18-25,Cash on Delivery,6.0,Standard,False,False,4.5,Delivered,1,2015,1,0.2,True,4.2,2015
TXN_2015_00000027,2015-01-14,CUST_2015_00004008,PROD_002001,LG QLED TV,electronics,TV & Entertainment,LG,86477.53,0.0,86477.53,1,86477.53,0.0,86477.53,bhubaneswar,Odisha,Tier2,Standard,46-55,Cash on Delivery,3.0,Standard,False,False,4.5,Delivered,1,2015,1,33.52,True,4.5,2015
TXN_2015_00000028,2015-01-04,CUST_2015_00011105,PROD_002001,LG QLED TV,electronics,TV & Entertainment,LG,86477.53,11.15,76837.23,1,76837.23,0.0,76837.23,new delhi,Delhi,Metro,Premium,36-45,Cash on Delivery,4.0,Standard,False,False,4.5,Delivered,1,2015,1,33.52,True,4.5,2015
TXN_2015_00000029,2015-01-17,CUST_2015_00003677,PROD_000087,Motorola Moto G (3rd Gen) 16GB White,electronics,Smartphones,Motorola,13721.42,0.0,13721.42,2,27442.84,0.0,27442.84,ahmedabad,Gujarat,Tier1,Budget,46-55,Cash on Delivery,7.0,Standard,False,False,4.5,Delivered,1,2015,1,0.22,True,3.8,2015
TXN_2015_00000031,2015-01-12,CUST_2015_00010929,PROD_000028,Samsung Galaxy S6 32GB Blue,electronics,Smartphones,Samsung,86591.57,0.0,86591.57,2,173183.14,0.0,173183.14,kolkata,West Bengal,Metro,Standard,36-45,Cash on Delivery,5.0,Standard,False,False,5.0,Delivered,1,2015,1,0.19,True,4.5,2015
TXN_2015_00000032,2015-01-18,CUST_2015_00010667,PROD_000031,Samsung Galaxy S6 Edge 64GB Black,electronics,Smartphones,Samsung,86987.64,0.0,86987.64,1,86987.64,0.0,86987.64,bengaluru,Karnataka,Metro,Standard,18-25,Cash on Delivery,3.0,Standard,False,False,4.5,Delivered,1,2015,1,0.16,False,3.7,2015
TXN_2015_00000033,2015-01-16,CUST_2015_00009653,PROD_001723,Xiaomi Tab M10 8GB RAM Silver,electronics,Tablets,Xiaomi,23264.31,0.0,23264.31,1,23264.31,0.0,23264.31,bombay,Maharashtra,Metro,Standard,26-35,Cash on Delivery,4.0,Standard,False,False,4.5,Delivered,1,2015,1,0.57,True,3.2,2015
TXN_2015_00000034,2015-01-05,CUST_2015_00008332,PROD_000060,OnePlus OnePlus X 16GB White,electronics,Smartphones,OnePlus,94029.64,0.0,94029.64,1,94029.64,0.0,94029.64,new delhi,Delhi,Metro,Standard,26-35,debit card,4.0,Standard,False,False,4.0,Delivered,1,2015,1,0.24,True,3.3,2015
TXN_2015_00000035,2015-01-15,CUST_2015_00000819,PROD_001751,Realme Slate 4GB RAM Black,electronics,Tablets,Realme,17206.23,0.0,17206.23,1,17206.23,0.0,17206.23,gorakhpur,Uttar Pradesh,Rural,Budget,36-45,debit card,5.0,Standard,False,False,5.0,Delivered,1,2015,1,0.59,True,3.9,2015
TXN_2015_00000036,2015-01-06,CUST_2015_00011486,PROD_001957,Noise Sports Watch Premium,electronics,Smart Watch,Noise,37013.54,0.0,37013.54,1,37013.54,0.0,37013.54,bombay,Maharashtra,Metro,Budget,,Credit Card,4.0,Standard,False,False,4.5,Delivered,1,2015,1,0.03,False,4.2,2015
TXN_2015_00000037,2015-01-15,CUST_2015_00005761,PROD_000027,Samsung Galaxy S6 16GB Blue,electronics,Smartphones,Samsung,130430.24,12.19,114524.5,1,114524.5,0.0,114524.5,kanpur,Uttar Pradesh,Tier1,Premium,18-25,Cash on Delivery,3.0,Standard,False,False,4.5,Returned,1,2015,1,0.18,True,3.4,2015
TXN_2015_00000039,2015-01-06,CUST_2015_00006872,PROD_000045,Samsung Galaxy J7 16GB Black,electronics,Smartphones,Samsung,41408.67,0.0,41408.67,1,41408.67,0.0,41408.67,bengaluru,Karnataka,Metro,Standard,26-35,Credit Card,0.0,Standard,False,False,4.5,Delivered,1,2015,1,0.17,True,3.6,2015
TXN_2015_00000041,2015-01-26,CUST_2015_00000352,PROD_001983,Samsung OLED TV,electronics,TV & Entertainment,Samsung,38884.19,38.43,23942.75,1,23942.75,0.0,23942.75,kolkata,West Bengal,Metro,Budget,26-35,Credit Card,4.0,Standard,False,True,3.0,Delivered,1,2015,1,25.87,False,3.9,2015
